condition,task_id,seed,initial_state_id,success_at_280,success_step,executed_env_steps,wall_time_to_terminal_s,model_invocations,model_inference_time_s,range_violations,range_clips,buffer_discards,mean_actual_horizon,termination_reason,git_sha,resolved_config_path
Static-H5,4,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,4,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,5,1000,0,False,,280,77.85246979400017,280,18.993889280001895,230,230,0,5.0,max_steps,fc574cf1addd60bbe39698a897b01ec3069d259d,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,5,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,5,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,5,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,5,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,6,1000,0,True,138,138,38.482618527999875,308,9.36069958799817,309,309,0,5.0,success,fc574cf1addd60bbe39698a897b01ec3069d259d,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,6,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,6,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
